id,title,type,status,priority,description,assignee,labels,storyPoints,parentId,sprintId,done
b02ba83c-88c7-7b63-d74d-f04eb9815b23,FEAT- Role access matrix (per-tenant role→module→CRUD),task,done,high,Per-tenant three-layer access matrix mapping role to module to CRUD permissions.,,v1.0;shipped;area:platform;area:security;module:rbac,13,,,true
4d1218f0-cb1e-2c9c-216a-a616bd210da5,"FEAT- Healthcare vertical (clinical, pharmacy, labs, wards, nursing, claims, OT, triage, patient portal)",task,done,high,"Full healthcare vertical: clinical notes, pharmacy, labs, wards, nursing, claims, OT scheduling, triage and patient portal.",,v1.0;shipped;area:healthcare;vertical:healthcare;epic,21,,,true
6680c2a6-c7d6-26be-3237-3f478e9c67f7,"FEAT- Multi-industry generalization (terminology layer, industry scoping)",task,done,high,Terminology layer and industry scoping so the same core serves multiple verticals.,,v1.0;shipped;area:platform;module:terminology;epic,21,,,true
e7ef7e24-f7d9-1719-ca65-9e1829824261,"FEAT- Super-admin console (dashboard, tenants, docs, DB visualizer)",task,done,high,"Super-admin dashboard with tenant management, docs and database visualizer.",,v1.0;shipped;area:platform;module:super-admin,13,,,true
8be2f14d-9951-fc72-74a4-4d8093d4a96a,FEAT- Subscription quota + module gating,task,done,high,Subscription-driven quotas and per-module feature gating per tenant.,,v1.0;shipped;area:billing;area:platform;module:subscriptions,13,,,true
fb621425-e839-f70f-c87f-7ff1f50c19b8,"FEAT- Ask PeepalAI (NL→SQL, local Ollama)",task,done,medium,Natural-language to SQL querying backed by a local Ollama model.,,v1.0;shipped;area:ai;module:ask-peepalai,13,,,true
b8f294c0-45d4-0bc2-f4b1-1001f9180753,FEAT- Brochure module (editable brochure page + PDF export),task,done,low,Editable tenant brochure page with PDF export.,,v1.0;shipped;area:marketing;module:brochure;has:pdf-export,5,,,true
ca71db6f-0726-cfb3-1af3-ffee1a03f91a,CHORE- Bulk upload framework + reference validation hardening,task,done,medium,Shared bulk-upload framework with reference validation hardening across modules.,,v1.0;shipped;area:platform;tech-debt;has:bulk-upload,8,,,true
3f8f7963-76b6-e9fc-442a-b7b2e9f1374b,FEAT- Identity modes (staff/student login without email),task,done,high,Alternate identity modes allowing staff and student login without an email address.,,v1.0;shipped;area:identity;module:auth,8,,,true
e4f36323-e164-a899-752f-4e093c9d11d8,FEAT- Super-admin console UI: Step 3 module configurator,task,inprogress,high,Step 3 of the tenant onboarding wizard: per-tenant module selection and configuration UI in the super-admin console.,,v1.1;inprogress;area:platform;module:super-admin;frontend,8,,,false
5c77798a-8fc4-bef5-5abf-6584b8a5c1ff,CHORE- Complete REST→GraphQL migration for remaining legacy routes,task,inprogress,high,"Migrate the remaining legacy REST routes to GraphQL so the API surface is uniform, then retire the REST handlers.",,v1.1;inprogress;area:platform;tech-debt;backend;graphql,13,,,false
4afb7080-88b4-4a45-8a89-c7bd69bec1d3,COMP- HIPAA Compliance - Unique User Identification,story,backlog,high,"As a healthcare organization, I want to implement unique user identification for all users, so that we can ensure that each user has a unique identity and access control is enforced.",,v1.2;compliance:hipaa;area:security;area:healthcare;epic,5,,,false
05b2167e-9910-4d85-aadd-ccdd239fb48f,COMP- Implement unique user identification using email addresses,task,backlog,high,"Guarantee a unique identifier per user account, with email as the primary identifier where available.",,v1.2;compliance:hipaa;area:identity;backend,3,4afb7080-88b4-4a45-8a89-c7bd69bec1d3,,false
f524284c-5996-400f-972b-8c5a3c307a19,COMP- Assign roles to users based on access level (HIPAA identification),task,backlog,medium,Assign each identified user a role reflecting their access level.,,v1.2;compliance:hipaa;area:security;module:rbac,2,4afb7080-88b4-4a45-8a89-c7bd69bec1d3,,false
00420c52-cd68-4c51-98a5-da90f7adf6c4,COMP- HIPAA Compliance - Role-Based Access Control,story,backlog,high,"As a healthcare organization, I want to implement role-based access control for all users, so that we can ensure that each user has the necessary permissions to perform their tasks.",,v1.2;compliance:hipaa;area:security;module:rbac;epic,8,,,false
52b8f075-6a62-487c-8434-bdcbbe63dce6,COMP- Implement RBAC using the three-layer access matrix,task,backlog,high,Extend the existing per-tenant role→module→CRUD matrix to cover all healthcare resources.,,v1.2;compliance:hipaa;area:security;module:rbac;backend,5,00420c52-cd68-4c51-98a5-da90f7adf6c4,,false
88d53929-f133-43b5-b82c-ca1391decad2,COMP- Assign roles to users based on access level (HIPAA RBAC),task,backlog,medium,Map every healthcare user to a role with least-privilege permissions.,,v1.2;compliance:hipaa;area:security;module:rbac,3,00420c52-cd68-4c51-98a5-da90f7adf6c4,,false
4ba155bc-f281-4293-873d-c83acd5955ba,COMP- HIPAA Compliance - Patient Self-Access Scoping,story,backlog,high,"As a healthcare organization, I want to implement patient self-access scoping for all patients, so that we can ensure that each patient has access only to their own medical records.",,v1.2;compliance:hipaa;area:healthcare;module:patient-portal;epic,3,,,false
f5446d0d-22ec-45db-a733-22aee022825c,COMP- Implement patient self-access scoping in GraphQL resolvers,task,backlog,high,Enforce self-access scoping at the GraphQL resolver layer for all patient-owned types.,,v1.2;compliance:hipaa;area:security;backend;graphql,2,4ba155bc-f281-4293-873d-c83acd5955ba,,false
72e24bbe-307f-4389-b39d-b49ba54f5bde,COMP- Resolve only the caller's own records in the patient portal,task,backlog,high,Patient portal queries must return only records owned by the authenticated caller.,,v1.2;compliance:hipaa;area:healthcare;module:patient-portal,2,4ba155bc-f281-4293-873d-c83acd5955ba,,false
2b041d31-d1d8-4bf9-9b85-a89c6062ca10,COMP- HIPAA Compliance - Person/Entity Authentication,story,backlog,high,"As a healthcare organization, I want to implement person/entity authentication for all users, so that we can ensure that each user is who they claim to be.",,v1.2;compliance:hipaa;area:security;module:auth;epic,5,,,false
a2ebd388-e5e1-4cbf-866e-ce0c298e16e2,COMP- Implement bcrypt password hashing for all users,task,backlog,critical,Hash all stored credentials with bcrypt and migrate any legacy hashes.,,v1.2;compliance:hipaa;area:security;module:auth;backend,3,2b041d31-d1d8-4bf9-9b85-a89c6062ca10,,false
37eb3c72-0f47-4e05-84cf-4e773381d5f9,COMP- Enforce a strong password policy for all users,task,backlog,high,"Enforce minimum length, complexity and reuse rules at signup and password change.",,v1.2;compliance:hipaa;area:security;module:auth,2,2b041d31-d1d8-4bf9-9b85-a89c6062ca10,,false
451f0666-3df2-40f4-9fd8-07bbd73c23d8,COMP- GDPR - Consent capture at account creation and onboarding,story,backlog,high,"As a tenant administrator, I want to capture explicit consent from users upon creating their accounts or accessing our platform, so that we comply with Article 6 and 7 of the GDPR.",,v1.2;compliance:gdpr;area:platform;module:consent;epic,13,,,false
ad5cea2d-3f33-46de-bb44-7fd66dcbac32,COMP- Implement consent model for explicit user agreement,task,backlog,high,"Data model and API for recording explicit, purpose-bound user consent.",,v1.2;compliance:gdpr;module:consent;backend,8,451f0666-3df2-40f4-9fd8-07bbd73c23d8,,false
916d860a-185c-4680-b8fa-42d0a363a7ce,COMP- Configure consent module for all tenant accounts,task,backlog,medium,Roll the consent module out across every tenant with per-tenant configuration.,,v1.2;compliance:gdpr;module:consent;area:platform,5,451f0666-3df2-40f4-9fd8-07bbd73c23d8,,false
fd0db9f2-bfeb-4c23-95f9-29364e4a55a1,COMP- Correct inaccurate privacy policy claims,story,backlog,critical,"As a platform operator, I want to rectify our privacy policy to accurately reflect the measures in place to protect sensitive data, so that we maintain transparency with our users.",,v1.2;compliance:gdpr;area:legal;risk:high;epic,5,,,false
4766246a-f186-4c02-b553-9ac1037c940e,COMP- Review existing privacy policy for inaccuracies,task,backlog,critical,Audit the published privacy policy against what the platform actually does today.,,v1.2;compliance:gdpr;area:legal,3,fd0db9f2-bfeb-4c23-95f9-29364e4a55a1,,false
6f6e1b73-89d4-457d-a43b-f288f361a987,COMP- Update policy to accurately reflect current security measures,task,backlog,critical,Rewrite the policy so every claim matches an implemented control.,,v1.2;compliance:gdpr;area:legal,2,fd0db9f2-bfeb-4c23-95f9-29364e4a55a1,,false
a5886125-aa39-4053-9466-ae2e3ea443ab,COMP- GDPR - Encryption at rest and in transit,story,backlog,critical,"As a tenant administrator, I want to ensure that sensitive data is encrypted both in transit and at rest, so that we comply with Article 32 of the GDPR.",,v1.2;compliance:gdpr;area:security;area:infra;epic,10,,,false
3562597a-2b87-4660-85cb-7e02c78a6405,COMP- Configure encryption for sensitive data at rest,task,backlog,critical,Enable storage-level encryption for all databases and file storage holding personal data.,,v1.2;compliance:gdpr;area:infra;area:security,5,a5886125-aa39-4053-9466-ae2e3ea443ab,,false
c181e28f-5fc5-42cd-82ee-84b94f5bded9,COMP- Implement TLS encryption for database connections,task,backlog,critical,Require TLS on every application-to-database connection and reject plaintext.,,v1.2;compliance:gdpr;area:infra;area:security,5,a5886125-aa39-4053-9466-ae2e3ea443ab,,false
72c6f7c7-a865-4c74-8f2c-4e9f5d8c3e4a,COMP- DPDP - Consent/Notice Engine,story,backlog,high,"As a Data Fiduciary, I want to capture and store informed consent for processing personal data, so that I comply with DPDP requirements for specific purpose-bound consent, notice versioning, and multi-language templates.",,v1.2;compliance:dpdp;area:platform;module:consent;epic,13,,,false
7b2d92d8-577c-4196-a771-a50d8c7cb23c,COMP- Develop consent engine,task,backlog,high,"Purpose-bound consent capture, storage and withdrawal, shared with the GDPR consent model.",,v1.2;compliance:dpdp;module:consent;backend,5,72c6f7c7-a865-4c74-8f2c-4e9f5d8c3e4a,,false
ceb01a69-efce-47c0-b7ea-774b89493f95,COMP- Implement notice versioning,task,backlog,high,Version every privacy notice and record which version each consent was given against.,,v1.2;compliance:dpdp;module:consent;backend,5,72c6f7c7-a865-4c74-8f2c-4e9f5d8c3e4a,,false
924af77c-6e42-4c55-9055-600b5c3fdac2,COMP- Create multi-language consent notice templates,task,backlog,medium,"Notice templates in the languages DPDP requires, selectable per tenant.",,v1.2;compliance:dpdp;module:consent;frontend;i18n,3,72c6f7c7-a865-4c74-8f2c-4e9f5d8c3e4a,,false
218a903d-df54-41f8-b373-42be415be3b6,COMP- DPDP - Verifiable Guardian Consent,story,backlog,high,"As a Data Fiduciary, I want to capture verifiable parental consent for processing children's data, so that I comply with DPDP requirements for guardian consent tied to existing guardian records.",,v1.2;compliance:dpdp;area:platform;module:consent;epic,8,,,false
62b28457-1bad-4a14-8918-25903e91377b,COMP- Develop verifiable guardian consent flow,task,backlog,high,Guardian verification and consent capture flow for accounts belonging to children.,,v1.2;compliance:dpdp;module:consent;backend,5,218a903d-df54-41f8-b373-42be415be3b6,,false
f7b07e20-706b-4fba-a29a-7e3eacbb7a10,COMP- Integrate guardian consent with existing guardian records,task,backlog,medium,Tie guardian consent records to the guardian entities already stored against students.,,v1.2;compliance:dpdp;module:consent;backend,3,218a903d-df54-41f8-b373-42be415be3b6,,false
dfca6289-f791-4868-b5ea-a2708456a30b,COMP- DPDP - Field-level encryption at rest,story,backlog,high,"As a Data Fiduciary, I want to encrypt sensitive personal data at rest, so that I comply with DPDP requirements for field-level encryption.",,v1.2;compliance:dpdp;area:security;area:infra;epic,10,,,false
ffd8e9f0-3ebf-4a2a-b175-89e2b9cc6b55,COMP- Implement field-level encryption,task,backlog,high,Application-layer field encryption with key management for designated sensitive fields.,,v1.2;compliance:dpdp;area:security;backend,5,dfca6289-f791-4868-b5ea-a2708456a30b,,false
0fc0e6c9-74de-43b3-9338-3adbbae3590a,COMP- Encrypt sensitive columns,task,backlog,high,Identify and encrypt the sensitive columns across tenant schemas.,,v1.2;compliance:dpdp;area:security;backend,5,dfca6289-f791-4868-b5ea-a2708456a30b,,false
gh-PVTI_lADODjCtJM4Big5izg5ioMk,COMP- Encrypt sensitive columns (GitHub-synced),task,backlog,high,GitHub-synced duplicate of the field-level encryption column work. Merge with 0fc0e6c9 or close one of the two.,,v1.2;compliance:dpdp;area:security;source:github;needs-triage;duplicate,5,dfca6289-f791-4868-b5ea-a2708456a30b,,false
57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,FEAT- Mobile Phase 0: Platform prerequisites for native clients,story,done,high,"Backend work required before an Expo client can exist: native session transport, device tokens and push delivery, and GraphQL codegen. Complete and verified; go build, go vet and go test ./... pass.",,mobile-v0;shipped;area:mobile;phase:0;area:platform;epic,21,,,true
e1f96c56-b1c0-44ac-9a2d-4851ab623f06,"FEAT- Native session transport (X-Client header, refresh token in body)",task,done,high,Clients sending X-Client: mobile/native/api receive refresh_token and refresh_expires_in alongside the access token on login and refresh. Header-based rather than User-Agent so a browser cannot be talked into exposing its refresh token to JavaScript.,,mobile-v0;shipped;area:mobile;phase:0;area:security;module:auth;backend,8,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
50bdbf62-d2b1-479e-8c73-45c9757a2f25,FEAT- Return rotated refresh token to body-token clients on /auth/refresh,task,done,high,"Without returning the new refresh token, a native client's second refresh replays a spent token, trips the reuse detector and revokes the session it was renewing.",,mobile-v0;shipped;area:mobile;phase:0;area:security;module:auth;backend,3,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
36a284f6-dcf2-4098-bef0-02774e23af77,"FEAT- Accept refresh token from cookie, X-Refresh-Token header or JSON body",task,done,medium,presentedRefreshToken resolves in that order so refresh and logout work without a cookie jar.,,mobile-v0;shipped;area:mobile;phase:0;module:auth;backend,3,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
88e3e5f9-fd08-469e-ada0-70be63f0db6e,"FEAT- DeviceToken model (one row per install, keyed on push token)",task,done,high,"Push token is the device identity. Re-registering an existing token reassigns it to the new user, which stops a shared ward tablet delivering the previous nurse's alerts to the next one.",,mobile-v0;shipped;area:mobile;phase:0;module:notifications;backend,5,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
7b9d5501-f2b2-47e8-bc7f-ba89a9f379b2,FEAT- Expo push delivery client with chunking and dead-token cleanup,task,done,high,"push.Client chunks to Expo's 100-message limit, parses per-message errors from the HTTP 200 body, and disables DeviceNotRegistered tokens so the table does not fill with dead entries.",,mobile-v0;shipped;area:mobile;phase:0;module:notifications;backend,5,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
e8eb9d59-4a7f-4779-83ec-e9db123143ac,FEAT- push.NotifyRecord fan-out at the three notification creation sites,task,done,medium,"Single entry point; delivery runs on its own goroutine and errors are logged, never returned, so a push outage cannot fail the mutation that triggered it.",,mobile-v0;shipped;area:mobile;phase:0;module:notifications;backend,3,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
d3876cef-abe1-4035-8492-93d605a49307,FEAT- Lock-screen push redaction (summary and deep link only),task,done,high,Notification bodies can name a patient or a result and render on a locked phone in a public corridor. Full text is read in-app behind auth.,,mobile-v0;shipped;area:mobile;phase:0;area:security;compliance:hipaa;module:notifications,3,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
7e8c6aa6-4ea7-4c2b-9fcc-ad00c01f39a3,FEAT- GraphQL registerDeviceToken / revokeDeviceToken / myDeviceTokens,task,done,medium,"Self-service and caller-scoped, so deliberately absent from opAccess like the other my* operations. The push token is a delivery credential and is never returned by the API.",,mobile-v0;shipped;area:mobile;phase:0;module:notifications;backend;graphql,3,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
b0a8bccc-effe-4a5b-90d1-daf15e42d8d6,FEAT- Disable device tokens on password change and delete with the user account,task,done,medium,Device tokens follow revoked sessions.,,mobile-v0;shipped;area:mobile;phase:0;area:security;module:notifications;backend,2,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
24912b6b-f6a9-4d1c-809c-2e49624a5e23,CHORE- GraphQL codegen from committed schema (frontend/codegen.ts),task,done,high,"Generates frontend/types/graphql.ts from backend/graph/schema.graphqls and every document under graphql/. Reads the schema from the repo rather than introspecting a running server, so it works in CI and the mobile client consumes the same committed types without a Go toolchain.",,mobile-v0;shipped;area:mobile;phase:0;area:platform;tooling;graphql,5,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
32d5ebbc-0293-425e-b4b8-4cbf32259ced,"BUG: upsertCalendarDay selects weekday on Holiday, server rejects at validation",task,done,high,"weekday belongs to CalendarDay; Holiday has never had it, so the mutation could not have worked. The caller in calendarSlice.ts discards the result, so the fix was to select fields that exist. Found by codegen validation.",,mobile-v0;shipped;area:mobile;phase:0;frontend;graphql;bug,2,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
9ed0930b-e3c0-41f2-84c5-96e1553d5bfa,BUG: Two different ListCourses queries sharing one operation name,task,done,medium,academic.ts (plain list) and students.ts (with batches) collided. Second renamed to ListCoursesWithBatches; exported constant unchanged so no import site moved. Tolerated by Apollo but breaks persisted queries and operation allowlisting.,,mobile-v0;shipped;area:mobile;phase:0;frontend;graphql;bug,2,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
856f0992-2bb4-4aa1-9918-27b4da296464,"BUG: GetAttendanceSettings defined twice, identically, in two files",task,done,low,attendance.ts and calendar.ts both defined it; calendar.ts now re-exports the single definition.,,mobile-v0;shipped;area:mobile;phase:0;frontend;graphql;bug,1,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,true
a1a004a2-9bf4-4409-9458-40a1b213055e,CHORE- Wire gen:graphql:check into CI to fail on stale codegen output,task,backlog,medium,npm run gen:graphql:check already exists and fails on stale output. Not yet wired into CI. Note: this repo uses pnpm and the three @graphql-codegen/* devDependencies are in package.json but not installed.,,mobile-v0;area:mobile;phase:0;area:platform;tooling;ci;tech-debt,2,57b4d813-f4d8-4aa9-bced-c5e4c11fab2e,,false
e4ae092e-c60d-402b-aa22-7844a2ee4d06,FEAT- Mobile: decisions required before Phase 1 starts,story,todo,high,Five open decisions from docs/mobile-app/plan.md section 6. Each one changes Phase 1 structure if answered late.,,mobile-v1;area:mobile;phase:1;blocker;needs-decision;epic,8,,,false
122b9032-c313-46b3-9053-48f394498a75,FEAT- Decide the parent role: new stored role or linked-account pattern,task,todo,high,No parent role id exists today. Education phases will want one. Deciding now avoids a migration later.,,mobile-v1;area:mobile;needs-decision;module:rbac,3,e4ae092e-c60d-402b-aa22-7844a2ee4d06,,false
0920bcaf-9ea8-4ebb-a345-77e5c216d9c3,FEAT- Decide mobile tenant discovery (org code vs deep link),task,todo,high,"Web uses a subdomain in the URL. Org code is simpler and works offline-first, but needs /api/v1/tenants/lookup/:subdomain to accept a short code too.",,mobile-v1;area:mobile;needs-decision;backend,3,e4ae092e-c60d-402b-aa22-7844a2ee4d06,,false
3f4761fd-f821-4d32-bf7b-6662c0d5be8c,FEAT- Decide whether mobile access is in existing plans or its own SKU,task,todo,medium,models/subscription_modules.go gates modules per tenant plan; the answer changes what MyAccess should return.,,mobile-v1;area:mobile;needs-decision;area:billing,2,e4ae092e-c60d-402b-aa22-7844a2ee4d06,,false
f3acf965-f332-46dd-b0dc-91c556803907,COMP- Compliance review for cached PHI on a personal device,task,todo,critical,"docs/compliance/ covers DPDP, GDPR and HIPAA for the web product. A mobile client holding a cached PHI store on a personal device is a new surface for all three. Required before Phase 3.",,mobile-v1;area:mobile;compliance:hipaa;compliance:gdpr;compliance:dpdp;area:security;blocker,5,e4ae092e-c60d-402b-aa22-7844a2ee4d06,,false
95f42f17-1910-438d-863d-69b88b4eef23,FEAT- Confirm tele-consult provider has a React Native SDK,task,todo,high,telemedicine.resolvers.go exists but the backing provider is unconfirmed. This is the one thing that could force ejecting from managed Expo.,,mobile-v1;area:mobile;needs-decision;risk:high,2,e4ae092e-c60d-402b-aa22-7844a2ee4d06,,false
2f3b5bb0-9db0-4bc5-9401-80e20255f78d,FEAT- Mobile Phase 1: App shell,story,todo,high,"Expo app skeleton everything else hangs on: tenant lookup, login across all three identity modes, secure token storage and refresh, session context, MyAccess and terminology wiring, persona routing, workspace switcher, notification inbox, profile. No clinical features.",,mobile-v1;area:mobile;phase:1;next-milestone;epic,34,,,false
620bc7c3-f275-4b78-8190-3dfff1f440e5,FEAT- Scaffold Expo managed workflow with dev client and expo-router,task,todo,high,"OTA updates matter for a product shipping to hospitals. expo-secure-store, expo-notifications, expo-camera and expo-local-authentication cover the whole native surface v1 needs.",,mobile-v1;area:mobile;phase:1;setup,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
573bd09a-fb9f-41a7-b07a-fb9c2e409044,FEAT- Tenant lookup / org code entry screen,task,todo,high,Depends on the tenant discovery decision.,,mobile-v1;area:mobile;phase:1;module:auth,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
035bbd7c-169e-40a3-b183-808928e8af29,"FEAT- Login supporting all three identity modes (email, Employee ID, Roll Number)",task,todo,high,"Login form adapts using the same three-step resolver as web, per docs/product/identity-modes.md.",,mobile-v1;area:mobile;phase:1;module:auth,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
ce202880-239b-4d7d-bb5d-d8e498fd3cc0,FEAT- Secure token storage and queued refresh in the Apollo auth link,task,todo,high,"Authorization: Bearer from an in-memory token, with a queued refresh on UNAUTHORIZED. Tokens at rest in expo-secure-store.",,mobile-v1;area:mobile;phase:1;area:security;module:auth,8,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
6504f3ab-d44b-4c20-a30f-b247564546b1,FEAT- Session context and useSession hook,task,todo,high,,,mobile-v1;area:mobile;phase:1;module:auth,3,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
a22a3be9-a3ea-40b0-ac48-131abd5a7e50,FEAT- MyAccess wiring: useAccess and moduleRegistry,task,todo,high,"Mirrors frontend/lib/useAccess.ts and BASE_MODULES. Nav is built from modules where canView is true, filtered to modules that have a mobile screen; anything without one is not shown at all rather than shown and dead.",,mobile-v1;area:mobile;phase:1;module:rbac,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
45c432f8-d569-4b3b-860f-d801a4aeace5,FEAT- Terminology bundle wiring (useTerminology),task,todo,high,Mobile must never hardcode Student/Teacher either.,,mobile-v1;area:mobile;phase:1;module:terminology,3,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
74fb03b5-50e2-4e39-a4ca-f8c227d6f4eb,"FEAT- Persona routing: (tenantType, activeRole, access flags) to home screen",task,todo,high,"A small resolver function over MyAccess, not a hardcoded role switch. Nurse and front desk are the same stored role (staff), differentiated by the CustomRole/AccessRule overlay. Do not invent new role ids.",,mobile-v1;area:mobile;phase:1;module:rbac,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
413b757b-1ed6-44c4-9efc-2e98a6975e31,FEAT- Workspace switcher (MyWorkspaces + POST /auth/workspace),task,todo,high,"Avatar-menu switcher that re-mints the token and resets the Apollo store. Must be built in v1, not retrofitted, because it changes how the navigator root is mounted.",,mobile-v1;area:mobile;phase:1;module:workspaces,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
2a0ff9c3-9829-477e-a295-44f340564e45,FEAT- Notification inbox,task,todo,medium,,,mobile-v1;area:mobile;phase:1;module:notifications,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
0e907733-f512-42c7-8d57-5362440c0466,FEAT- Profile screen,task,todo,low,,,mobile-v1;area:mobile;phase:1,2,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
0c309f45-9d0b-4374-8918-4a68e30c72d9,FEAT- Native design system primitives and shared design-token package,task,todo,medium,"Rebuild primitives natively rather than porting Tailwind components. Share colors, spacing and type scale as a JSON package so web and mobile stay visually consistent.",,mobile-v1;area:mobile;phase:1;design-system,8,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
5d8c83c9-4a4d-450d-8f73-b3b1f93079f0,FEAT- Cached reads via apollo3-cache-persist over AsyncStorage,task,todo,medium,"cache-and-network on list screens. Cached reads only in v1, no offline write queue.",,mobile-v1;area:mobile;phase:1;offline,5,2f3b5bb0-9db0-4bc5-9401-80e20255f78d,,false
70621ba2-7d6f-44ea-add7-56dd7bdee20d,FEAT- Mobile Phase 2: Patient role,story,backlog,high,"Entirely served by existing patient portal resolvers, so it proves the shell end to end at low risk and covers the role with the largest user count.",,mobile-v1;area:mobile;phase:2;persona:patient;epic,21,,,false
7cf1a188-85ae-4704-9381-e46304315fd1,FEAT- Patient home: My Health screen,task,backlog,high,"Next appointment, active prescriptions, lab and radiology results, referrals, tele-consult join.",,mobile-v1;area:mobile;phase:2;persona:patient;module:patient-portal,8,70621ba2-7d6f-44ea-add7-56dd7bdee20d,,false
33fc43c1-b2cf-44e2-8797-ec1114395885,FEAT- Book and cancel appointment from the patient app,task,backlog,high,,,mobile-v1;area:mobile;phase:2;persona:patient;module:appointments,5,70621ba2-7d6f-44ea-add7-56dd7bdee20d,,false
